Luas lantai (m2),Jenis dinding,Jenis Lantai,Kepimilikan FTBAB,Sumber air minum,Sumber penerangan,Bahan bakar,Banyak ART,Outcome
40,3,5,2,7,1,10,3,1
66,1,4,1,7,1,10,2,1
20,3,6,1,7,1,10,3,0
36,3,5,1,7,2,10,1,1
96,1,2,1,7,1,10,8,0
35,3,5,1,7,1,10,2,1
54,1,2,1,7,1,10,7,0
130,1,6,1,7,1,7,4,1
35,3,5,1,7,1,10,5,0
24,3,5,2,7,2,10,8,0
30,1,2,1,7,2,10,7,0
50,1,2,1,7,1,10,7,0
32,3,5,2,7,1,10,3,0
20,3,5,4,7,1,10,5,0
24,3,5,6,7,1,10,6,0
63,1,6,1,7,1,10,4,0
54,1,6,1,7,1,10,6,0
75,1,6,6,7,1,10,9,0
80,1,2,1,7,1,7,6,1
112,1,2,1,7,1,7,5,1
24,3,5,6,7,1,10,4,0
54,1,2,1,7,1,7,4,1
24,3,5,6,7,1,7,2,1
108,1,4,1,3,1,7,7,1
25,3,4,1,3,2,10,11,1
84,1,2,1,3,1,7,6,1
30,1,6,1,3,3,7,2,1
56,1,4,1,3,1,7,4,1
24,1,2,1,3,1,0,1,1
54,1,6,1,2,1,7,4,1
56,1,2,1,3,1,7,4,1
24,3,5,1,3,1,7,1,1
60,1,5,1,3,2,10,6,1
35,3,5,4,7,1,10,6,1
91,1,2,1,2,1,7,3,1
36,3,5,4,7,1,10,7,0
84,1,4,1,7,1,7,6,1
30,3,5,2,7,1,10,3,1
35,3,6,1,7,1,7,5,1
48,3,5,1,7,1,10,2,1
49,3,5,1,7,1,7,2,1
20,3,5,1,7,1,10,8,0
84,1,2,1,7,1,7,4,1
63,1,2,1,3,1,10,5,1
77,1,2,1,3,1,10,5,1
63,1,2,1,3,2,10,7,0
20,3,5,2,3,2,10,2,1
30,3,5,1,3,1,7,7,1
40,3,4,1,3,1,10,7,0
56,1,2,1,3,1,10,7,1
24,3,5,2,3,1,10,1,1
30,1,2,2,3,2,7,4,1
30,3,5,1,3,1,7,2,1
20,3,6,1,7,1,10,2,1
24,3,4,1,7,1,10,5,0
30,1,6,1,7,1,10,7,1
42,1,2,1,2,1,3,2,1
42,1,2,1,2,1,3,3,1
36,1,2,1,2,1,7,5,1
35,1,6,1,7,1,10,8,0
36,3,6,1,7,1,10,6,1
54,1,2,1,7,1,10,8,0
42,3,2,1,7,1,10,7,1
84,1,2,1,7,1,10,5,1
98,1,2,1,6,1,7,4,1
70,1,2,1,5,1,10,6,0
54,1,4,1,6,2,10,3,1
24,6,5,6,5,1,10,4,1
60,3,4,1,8,1,10,8,1
90,1,4,1,7,1,10,12,0
72,1,2,1,8,1,10,4,1
66,1,4,1,5,1,10,4,1
24,3,4,6,5,2,10,6,0
99,1,4,1,7,1,10,9,1
56,1,6,1,7,1,7,6,1
28,2,5,1,5,1,10,7,0
117,1,2,1,2,1,7,4,1
91,1,2,1,7,1,7,4,1
56,3,4,3,7,1,7,4,1
25,3,5,1,7,2,10,3,1
28,3,5,4,7,1,7,5,1
74,3,5,1,7,1,7,3,1
72,3,5,1,7,1,10,5,1
108,3,4,1,5,1,10,3,1
32,3,4,1,5,1,10,4,1
54,1,4,1,5,1,10,2,1
63,3,4,1,4,1,10,2,1
42,3,8,1,6,2,10,2,1
40,3,4,6,4,1,10,7,1
48,3,8,1,6,1,10,4,1
30,1,4,1,6,1,10,6,1
72,1,5,1,6,1,10,2,1
54,3,4,1,6,1,10,2,1
42,3,5,4,7,1,10,6,1
48,3,5,1,7,1,10,7,1
42,3,5,4,7,1,10,6,0
15,3,5,1,7,1,10,4,1
24,3,5,3,7,2,10,1,1
63,3,5,3,7,1,10,4,1
88,3,4,1,7,1,10,2,1
18,3,5,6,7,2,10,4,0
20,3,5,6,6,2,10,4,1
108,3,5,1,7,1,10,5,1
42,3,5,1,4,1,10,5,1
54,3,5,1,6,1,10,3,1
36,3,5,6,4,1,10,2,1
20,3,5,3,4,2,10,7,1
24,3,5,6,4,2,7,2,1
24,3,5,6,8,1,10,2,1
37,3,5,3,4,1,10,6,1
36,3,4,1,4,1,10,6,0
36,3,8,3,4,1,10,5,0
24,3,5,4,4,2,10,1,1
84,3,5,4,7,1,10,15,0
54,1,5,1,7,1,7,9,0
66,1,6,1,6,1,10,7,1
112,1,2,1,7,1,10,6,0
42,3,5,1,7,1,10,4,0
42,3,5,6,7,4,10,2,0
72,3,5,4,7,1,10,8,0
60,1,6,1,2,1,10,6,0
36,3,7,1,5,1,10,4,1
35,3,6,4,6,2,10,7,0
54,1,6,1,4,1,10,1,1
30,3,6,1,4,1,7,2,1
119,1,2,1,4,1,7,9,0
35,3,5,1,3,1,10,8,0
117,1,2,1,4,1,7,7,1
108,1,6,1,4,1,7,6,1
25,1,8,1,5,1,10,3,1
35,3,6,1,4,1,10,4,1
117,1,2,1,4,1,10,7,1
63,1,2,1,4,1,10,8,0
35,3,5,6,7,1,10,5,1
54,1,4,1,7,1,10,4,1
30,3,6,6,7,2,10,2,1
77,1,6,1,7,1,7,2,1
12,3,5,3,7,2,10,3,1
35,3,5,6,7,1,7,3,1
35,3,5,1,7,1,10,6,0
28,3,5,1,4,1,10,7,0
96,1,4,1,7,1,10,4,1
108,1,4,1,7,1,10,4,1
40,3,6,1,5,1,7,7,0
30,3,6,2,5,2,10,2,1
35,3,7,6,5,1,10,6,0
144,1,4,1,5,1,7,4,1
32,5,5,1,5,1,7,5,1
96,1,4,1,5,1,3,2,1
30,3,6,1,5,1,7,5,1
35,3,6,2,5,1,7,3,1
42,3,5,1,5,2,7,5,1
72,1,2,1,5,1,7,2,1
30,3,6,1,6,1,10,3,1
140,1,6,1,7,1,10,10,1
54,3,6,1,7,1,10,4,1
48,3,5,1,7,1,10,5,1
72,3,6,6,7,2,10,2,1
30,3,6,1,7,1,10,5,1
45,1,6,1,7,1,10,3,1
40,3,5,1,7,1,10,2,1
30,3,6,1,7,1,10,4,1
70,1,6,1,7,2,10,10,0
90,1,4,1,4,1,10,6,1
72,1,6,1,4,1,10,7,1
99,3,6,1,4,1,10,5,1
29,3,5,6,4,1,10,6,0
30,3,5,6,5,1,10,2,1
12,3,5,6,4,1,7,4,1
56,3,5,3,5,1,10,3,1
55,3,5,1,5,1,10,3,1
54,3,5,1,5,1,7,4,1
87,1,6,1,5,1,3,4,1
54,3,6,1,5,1,10,5,1
54,3,6,1,7,1,10,4,1
70,3,5,1,7,1,7,5,1
30,3,6,1,7,1,10,3,1
32,3,6,6,7,2,10,3,1
54,3,6,6,7,1,10,8,1
40,2,6,1,7,1,10,5,1
36,3,8,1,5,1,10,6,1
64,3,6,1,7,1,7,4,1
35,3,6,1,7,1,7,3,1
80,1,6,1,5,1,7,6,0
37,3,6,2,4,2,10,3,1
60,1,2,1,4,1,7,8,1
60,3,5,2,4,1,10,5,0
108,1,2,1,4,1,10,5,1
30,1,6,6,5,2,10,4,1
57,1,2,1,4,1,10,10,0
50,3,5,2,4,1,10,3,1
78,1,2,1,4,1,7,5,1
50,1,8,1,4,1,10,8,0
40,3,5,1,7,1,10,6,1
70,1,4,6,7,1,10,10,1
12,3,9,6,7,4,10,4,0
45,3,5,1,7,1,7,5,1
117,3,5,1,7,1,10,5,1
35,4,5,6,7,2,10,6,1
35,3,5,6,7,1,10,2,1
35,3,5,6,7,1,10,6,1
32,4,7,6,7,2,10,2,1
40,3,5,6,7,2,7,8,0
216,1,2,1,7,1,7,5,1
45,3,5,4,7,1,7,3,1
30,3,5,1,7,1,7,3,1
16,3,5,1,7,1,10,2,1
20,3,6,6,7,1,7,3,1
120,3,5,1,7,1,7,4,0
108,3,5,1,7,1,7,5,1
42,3,5,2,7,1,7,4,1
105,1,2,1,5,1,7,2,1
264,1,2,1,7,1,7,3,1
99,1,6,1,5,1,7,4,1
63,3,5,1,5,1,7,4,1
100,1,2,1,5,1,7,4,1
45,3,5,1,5,1,10,5,0
243,1,2,1,2,1,3,7,1
17,3,6,1,5,1,7,1,1
56,3,6,1,5,1,10,5,0
70,1,6,1,5,1,10,5,1
63,3,2,1,5,1,7,2,1
160,1,2,1,5,1,7,2,1
45,3,6,1,8,1,7,5,1
35,3,5,1,7,1,7,4,1
20,3,5,4,7,1,10,1,1
54,3,5,1,7,1,10,2,1
20,3,5,6,7,2,10,2,0
28,3,5,4,7,1,7,3,1
24,3,5,1,7,1,7,1,1
48,1,6,1,8,1,10,4,1
42,3,5,1,7,1,10,9,0
35,3,5,1,7,1,7,3,1
42,3,5,1,7,1,10,3,1
70,3,6,6,7,1,10,6,0
20,3,5,4,7,2,7,4,0
30,3,5,6,7,1,7,4,1
112,3,5,2,7,1,7,6,1
216,1,2,1,7,1,7,5,1
60,3,5,1,7,1,7,1,1
72,1,6,1,7,1,7,3,1
247,3,5,1,7,1,7,5,1
195,1,2,1,7,1,7,2,1
28,3,6,1,7,1,7,1,1
42,3,5,6,7,1,10,5,1
30,3,5,4,7,1,7,6,0
126,3,5,1,7,1,10,4,1
98,3,5,1,5,1,7,4,0
48,4,6,4,7,1,10,3,1
96,3,5,1,7,1,7,5,1
96,3,5,1,7,1,7,5,0
96,3,5,4,7,1,10,6,1
104,3,6,1,7,1,7,6,1
50,3,5,6,7,1,7,4,1
72,1,2,1,7,1,7,5,1
55,1,2,1,7,1,7,5,1
104,3,5,1,4,1,10,3,1
30,3,5,6,6,1,7,2,1
50,3,5,6,4,1,7,5,0
30,3,5,1,8,1,7,4,1
35,3,5,1,7,1,7,4,1
35,1,6,1,6,1,7,4,1
24,3,5,1,7,1,7,2,0
24,3,5,2,7,2,7,2,0
54,1,2,1,7,1,7,4,1
36,1,6,1,7,1,7,5,1
32,3,5,1,2,1,7,4,1
24,3,6,2,7,2,7,4,0
45,1,2,1,2,1,7,4,1
24,3,5,1,7,1,10,7,1
40,1,6,1,7,1,10,4,1
24,3,6,1,7,2,7,3,1
195,1,2,1,5,1,2,4,1
54,3,6,2,5,1,7,4,1
63,3,6,1,5,1,7,3,1
176,1,2,1,5,1,3,4,1
225,1,6,1,5,1,7,4,1
162,1,2,1,5,1,7,2,1
30,3,5,1,5,1,7,5,1
48,1,6,2,3,1,7,4,1
150,3,5,2,5,1,10,5,1
35,3,5,6,5,2,7,1,1
144,1,2,1,3,1,7,3,1
120,3,6,1,3,1,7,3,1
24,3,6,1,5,2,10,2,1
96,1,2,1,2,1,7,4,1
24,3,6,1,5,1,7,4,1
90,3,2,1,5,1,7,3,1
88,1,2,1,5,1,7,6,1
132,1,2,1,2,1,7,4,1
224,1,2,1,2,1,3,3,1
160,1,2,1,5,1,1,1,1
150,1,2,1,2,1,7,4,1
63,1,6,1,5,1,7,8,1
35,3,5,6,5,1,7,3,1
180,1,2,1,3,1,3,2,1
21,1,2,1,2,1,7,4,1
119,1,2,1,2,1,4,3,1
99,1,2,1,2,1,3,4,1
80,3,6,1,2,1,7,5,1
42,3,6,1,5,1,7,3,1
135,1,6,1,5,1,7,3,1
144,1,2,1,5,1,7,4,1
98,1,2,1,5,1,3,4,1
98,1,2,1,5,1,7,4,1
63,1,2,1,3,1,7,3,1
160,1,2,1,5,1,7,4,1
84,3,6,1,3,1,7,4,1
270,1,2,1,3,1,3,3,1
42,1,6,1,5,1,7,4,1
84,1,6,1,3,1,7,6,1
20,3,5,6,3,2,10,4,1
42,3,5,1,3,1,10,3,1
16,3,5,2,10,2,10,3,1
35,3,6,1,2,1,7,4,1
32,3,6,6,10,2,10,2,1
28,3,6,6,10,2,7,3,1
72,1,2,1,3,1,7,5,1
108,1,6,1,10,1,10,5,1
24,3,5,6,7,2,7,3,1
24,1,2,1,2,1,7,2,1
63,1,6,1,3,1,7,4,1
28,3,8,6,4,1,10,4,0
35,1,6,6,3,1,7,4,1
35,1,6,1,3,1,7,4,1
36,1,6,1,3,1,7,4,1
63,1,2,1,3,1,7,5,1
42,3,6,6,3,2,10,4,1
35,1,6,1,3,1,7,3,1
35,3,5,1,3,1,10,6,1
108,1,2,1,3,1,2,5,1
63,1,5,1,4,1,7,2,1
63,3,5,6,5,1,10,4,1
70,1,6,1,2,1,7,4,1
105,1,2,1,4,1,7,1,1
54,1,2,1,2,1,10,2,1
24,3,6,6,4,1,10,5,1
49,3,6,1,4,1,10,9,0
98,1,2,1,5,1,7,5,1
54,1,2,1,4,1,7,4,1
35,3,6,6,4,1,7,4,1
132,1,2,1,2,1,7,3,1
147,1,2,1,3,1,7,6,1
126,3,2,1,2,1,7,2,1
104,1,2,1,2,1,7,2,1
60,1,2,1,3,1,7,1,1
312,1,2,1,3,1,7,4,1
70,1,6,1,3,1,7,2,1
99,1,2,1,3,1,7,3,1
84,1,2,1,2,1,7,4,1
55,3,2,1,3,1,7,5,1
30,3,8,1,3,1,10,1,1
24,3,5,4,3,1,7,3,1
102,1,4,1,3,1,7,2,1
142,1,2,1,5,1,7,3,1
12,3,2,2,2,1,7,3,1
36,1,6,2,3,1,7,3,1
160,1,2,1,3,1,7,5,1
92,1,2,2,2,1,7,9,1
180,1,2,1,3,1,7,5,1
117,1,2,1,2,1,3,4,1
18,3,6,6,2,2,4,3,1
136,1,2,1,2,1,7,4,1
368,1,2,1,3,1,3,6,1
130,1,2,1,2,1,7,3,1
174,1,2,1,2,1,3,6,1
54,3,5,1,2,1,7,5,1
174,1,2,1,2,1,7,6,1
48,3,8,6,2,1,7,2,1
35,3,5,6,3,1,7,4,0
168,1,2,1,2,1,7,4,1
35,3,6,1,3,2,7,2,1
80,1,2,1,2,1,7,3,1
150,1,2,1,2,1,7,3,1
63,3,5,6,2,2,10,2,1
80,1,6,1,5,1,7,2,1
187,1,2,1,2,1,4,6,1
84,1,2,1,2,1,7,9,1
141,3,5,1,3,1,7,4,1
108,1,2,1,3,1,7,4,1
74,1,2,1,2,1,7,3,1
60,1,2,1,2,1,4,3,1
84,3,2,1,3,1,7,3,1
108,1,2,1,5,1,3,4,1
99,3,5,1,3,1,7,7,1
198,1,2,1,2,1,3,5,1
108,1,2,1,3,1,3,6,1
42,1,2,1,2,1,7,9,1
56,1,2,1,2,1,7,3,1
198,1,2,1,7,1,3,2,1
63,1,6,1,5,1,4,6,1
80,1,2,1,2,1,3,3,1
96,1,2,1,2,1,7,5,1
42,3,6,1,2,1,7,3,1
24,1,6,1,2,1,7,1,1
153,1,2,1,2,1,7,2,1
63,1,2,1,2,1,7,5,1
108,1,2,1,2,1,7,2,1
70,1,2,2,2,1,7,7,1
60,1,2,1,3,1,7,4,1
40,1,2,1,2,1,7,5,1
240,1,6,1,7,1,7,2,1
228,3,6,1,2,1,4,4,1
48,3,6,1,2,1,4,3,1
30,1,2,2,3,1,7,4,1
90,3,6,1,2,1,7,1,1
231,1,2,1,3,1,3,5,1
54,1,6,1,7,1,7,8,1
300,1,2,1,2,1,7,5,1
32,3,2,2,3,1,7,3,1
170,1,2,1,2,1,7,6,1
96,1,2,1,2,1,1,3,1
90,1,2,1,2,1,4,2,1
54,3,6,1,2,1,7,5,1
51,3,6,2,3,1,7,4,1
63,1,6,1,2,1,10,6,1
135,1,2,1,2,1,7,3,1
64,3,6,1,4,1,7,6,1
126,1,2,1,5,1,7,1,1
108,1,2,1,3,1,7,6,1
35,3,5,1,7,1,10,3,1
72,3,5,1,7,1,10,5,0
60,3,5,1,7,1,10,5,0
30,3,5,6,5,1,10,3,1
30,3,5,6,7,2,10,4,0
63,3,5,1,7,1,10,2,0
45,3,5,6,7,1,10,7,0
35,3,5,6,7,1,10,2,1
66,3,5,6,7,1,10,7,0
54,3,5,1,7,1,10,6,1
24,3,5,1,5,1,10,6,0
28,3,5,1,5,1,10,5,1
108,1,2,1,5,1,7,5,1
30,7,6,6,5,1,7,5,1
41,3,5,1,5,1,10,1,1
52,3,5,1,5,1,7,5,1
60,3,6,1,5,1,7,5,1
236,1,2,1,5,1,10,7,1
60,3,5,6,5,1,10,4,1
70,3,5,1,5,1,10,3,1
84,3,5,1,7,1,10,4,1
35,3,5,6,7,2,10,5,0
35,3,5,6,7,4,10,6,0
35,3,5,2,7,1,10,4,1
50,3,5,2,7,2,10,6,0
122,3,6,1,6,1,7,10,1
59,3,5,1,7,1,10,3,1
103,3,5,1,5,1,10,3,1
66,3,5,6,7,1,10,5,1
50,3,6,1,7,1,7,6,1
77,3,5,6,5,3,10,4,1
35,3,5,6,5,3,10,13,1
36,4,5,6,5,3,10,4,1
43,3,5,6,5,3,10,6,0
106,3,5,6,5,3,10,2,1
89,3,5,1,5,3,4,4,1
93,3,5,1,5,3,10,4,1
150,3,5,6,7,3,10,6,0
63,3,5,6,5,3,10,3,1
40,3,5,6,5,3,4,7,1
207,3,5,1,5,3,10,3,1
143,3,5,6,5,3,4,6,1
84,3,5,6,5,3,10,6,1
63,3,5,6,5,3,4,3,1
40,4,5,6,5,3,10,2,1
140,3,5,4,5,3,10,4,1
240,3,5,6,5,3,4,1,1
77,3,5,1,5,3,4,2,1
140,3,5,1,5,3,4,6,1
84,3,5,6,5,3,4,5,1
85,1,6,1,5,1,10,4,1
69,1,6,1,5,1,7,5,1
89,1,2,1,5,1,7,6,1
44,3,6,1,5,1,10,4,1
60,3,6,1,5,1,7,2,1
70,3,6,1,5,1,7,4,1
56,1,2,1,5,1,7,5,1
24,3,5,1,5,1,10,1,1
86,1,6,1,5,1,7,2,1
63,3,6,1,5,1,10,2,1
42,1,6,4,7,2,10,2,1
